20200501 040000,1.09645,1.09648,1.096,1.09637,0
20200501 040100,1.09636,1.09678,1.09631,1.09678,0
20200501 040200,1.0968,1.09685,1.09648,1.09655,0
20200501 040300,1.09655,1.09655,1.09633,1.09637,0
20200501 040400,1.09638,1.09652,1.09632,1.09641,0
20200501 040500,1.0964,1.09642,1.09622,1.09631,0
20200501 040600,1.09631,1.09645,1.09624,1.09629,0
20200501 040700,1.09628,1.09639,1.09624,1.09639,0
20200501 040800,1.09639,1.09643,1.09614,1.09614,0
20200501 040900,1.09615,1.09648,1.09615,1.09647,0
20200501 041000,1.09647,1.09658,1.0964,1.09641,0
20200501 041100,1.09641,1.09644,1.09626,1.09636,0
20200501 041200,1.09634,1.09634,1.09619,1.09625,0
20200501 041300,1.09624,1.09655,1.09623,1.09654,0
20200501 041400,1.09653,1.09653,1.09628,1.09643,0
20200501 041500,1.09643,1.09643,1.09604,1.09605,0
20200501 041600,1.09605,1.09615,1.09586,1.0961,0
20200501 041700,1.0961,1.0964,1.09603,1.0964,0
20200501 041800,1.0964,1.09646,1.09639,1.09641,0
20200501 041900,1.09642,1.09669,1.09633,1.09666,0
20200501 042000,1.09666,1.09676,1.09662,1.09665,0
20200501 042100,1.09665,1.09683,1.09662,1.09683,0
20200501 042200,1.09682,1.09742,1.09676,1.0974,0
20200501 042300,1.09741,1.09795,1.09732,1.09761,0
20200501 042400,1.0976,1.09773,1.09752,1.09763,0
20200501 042500,1.09761,1.09775,1.09749,1.09771,0
20200501 042600,1.09773,1.09776,1.09747,1.09756,0
20200501 042700,1.09757,1.09758,1.09711,1.09711,0
20200501 042800,1.0971,1.09711,1.09669,1.09676,0
20200501 042900,1.09676,1.09676,1.09669,1.09671,0
20200501 043000,1.09671,1.09702,1.09671,1.09697,0
20200501 043100,1.09697,1.09702,1.09683,1.0969,0
20200501 043200,1.09688,1.09706,1.09679,1.09705,0
20200501 043300,1.09703,1.09706,1.09686,1.09704,0
20200501 043400,1.09705,1.09725,1.09704,1.0972,0
20200501 043500,1.09721,1.09726,1.09708,1.09721,0
20200501 043600,1.09721,1.09721,1.09694,1.09701,0
20200501 043700,1.09699,1.09703,1.09689,1.09694,0
20200501 043800,1.09692,1.09692,1.09672,1.09672,0
20200501 043900,1.09673,1.09677,1.09658,1.09659,0
20200501 044000,1.09661,1.0969,1.09661,1.09682,0
20200501 044100,1.09681,1.09681,1.09654,1.09661,0
20200501 044200,1.09659,1.09677,1.09648,1.09677,0
20200501 044300,1.09676,1.09704,1.09664,1.09702,0
20200501 044400,1.09702,1.09726,1.097,1.09721,0
